Interval=	0.001 s
ExcelDateTime=	4.3735397277095275e+004	9/27/2019 9:32:04.741031
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
3.483	0.98125
3.484	0.980625
3.485	0.980625
3.486	0.98
3.487	0.979375
3.488	0.979375
3.489	0.978125
3.49	0.978125
3.491	0.9775
3.492	0.976875
3.493	0.976875
3.494	0.97625
3.495	0.975625
3.496	0.975625
3.497	0.975625
3.498	0.975
3.499	0.975
3.5	0.975
3.501	0.975
3.502	0.975
3.503	0.975
3.504	0.975625
3.505	0.975625
3.506	0.975625
3.507	0.97625
3.508	0.97625
3.509	0.97625
3.51	0.976875
3.511	0.976875
3.512	0.976875
3.513	0.976875
3.514	0.976875
3.515	0.9775
3.516	0.9775
3.517	0.976875
3.518	0.976875
3.519	0.976875
3.52	0.976875
3.521	0.976875
3.522	0.976875
3.523	0.976875
3.524	0.976875
3.525	0.976875
3.526	0.97625
3.527	0.976875
3.528	0.976875
3.529	0.976875
3.53	0.976875
3.531	0.976875
3.532	0.97625
3.533	0.97625
3.534	0.97625
3.535	0.97625
3.536	0.97625
3.537	0.97625
3.538	0.97625
3.539	0.97625
3.54	0.97625
3.541	0.975625
3.542	0.975625
3.543	0.975625
3.544	0.975625
3.545	0.975
3.546	0.975
3.547	0.975
3.548	0.975
3.549	0.975
3.55	0.975625
3.551	0.975625
3.552	0.975625
3.553	0.975625
3.554	0.975625
3.555	0.975625
3.556	0.97625
3.557	0.97625
3.558	0.976875
3.559	0.976875
3.56	0.976875
3.561	0.976875
3.562	0.9775
3.563	0.9775
3.564	0.9775
3.565	0.978125
3.566	0.978125
3.567	0.978125
3.568	0.97875
3.569	0.97875
3.57	0.97875
3.571	0.97875
3.572	0.979375
3.573	0.979375
3.574	0.979375
3.575	0.98
3.576	0.98
3.577	0.98
3.578	0.980625
3.579	0.980625
3.58	0.98125
3.581	0.981875
3.582	0.9825
3.583	0.9825
3.584	0.983125
3.585	0.984375
3.586	0.985
3.587	0.985
3.588	0.985625
3.589	0.985625
3.59	0.985625
3.591	0.985625
3.592	0.985625
3.593	0.985
3.594	0.984375
3.595	0.98375
3.596	0.981875
3.597	0.98125
3.598	0.979375
3.599	0.9775
3.6	0.975
3.601	0.9725
3.602	0.97
3.603	0.9675
3.604	0.964375
3.605	0.96125
3.606	0.9575
3.607	0.954375
3.608	0.950625
3.609	0.9475
3.61	0.943125
3.611	0.94
3.612	0.935625
3.613	0.931875
3.614	0.9275
3.615	0.92375
3.616	0.91875
3.617	0.915
3.618	0.910625
3.619	0.905625
3.62	0.90125
3.621	0.896875
3.622	0.891875
3.623	0.8875
3.624	0.8825
3.625	0.878125
3.626	0.873125
3.627	0.868125
3.628	0.86375
3.629	0.85875
3.63	0.854375
3.631	0.849375
3.632	0.844375
3.633	0.839375
3.634	0.834375
3.635	0.83
3.636	0.825
3.637	0.82
3.638	0.815625
3.639	0.810625
3.64	0.805625
3.641	0.80125
3.642	0.79625
3.643	0.791875
3.644	0.7875
3.645	0.783125
3.646	0.77875
3.647	0.774375
3.648	0.770625
3.649	0.76625
3.65	0.7625
3.651	0.758125
3.652	0.755
3.653	0.751875
3.654	0.7475
3.655	0.744375
3.656	0.74125
3.657	0.7375
3.658	0.734375
3.659	0.73125
3.66	0.728125
3.661	0.725625
3.662	0.723125
3.663	0.720625
3.664	0.718125
3.665	0.71625
3.666	0.714375
3.667	0.7125
3.668	0.71125
3.669	0.71
3.67	0.70875
3.671	0.708125
3.672	0.7075
3.673	0.706875
3.674	0.70625
3.675	0.70625
3.676	0.705625
3.677	0.705625
3.678	0.70625
3.679	0.70625
3.68	0.70625
3.681	0.70625
3.682	0.70625
3.683	0.706875
3.684	0.706875
3.685	0.706875
3.686	0.7075
3.687	0.7075
3.688	0.708125
3.689	0.708125
3.69	0.708125
3.691	0.70875
3.692	0.70875
3.693	0.70875
3.694	0.709375
3.695	0.709375
3.696	0.71
3.697	0.71
3.698	0.710625
3.699	0.710625
3.7	0.710625
3.701	0.710625
3.702	0.710625
3.703	0.71125
3.704	0.71125
3.705	0.71125
3.706	0.71125
3.707	0.71125
3.708	0.71125
3.709	0.71125
3.71	0.71125
3.711	0.711875
3.712	0.711875
3.713	0.711875
3.714	0.711875
3.715	0.711875
3.716	0.711875
3.717	0.711875
3.718	0.711875
3.719	0.711875
3.72	0.711875
3.721	0.711875
3.722	0.711875
3.723	0.711875
3.724	0.711875
3.725	0.7125
3.726	0.7125
3.727	0.7125
3.728	0.713125
3.729	0.713125
3.73	0.71375
3.731	0.71375
3.732	0.71375
3.733	0.714375
3.734	0.714375
3.735	0.714375
3.736	0.715
3.737	0.715
3.738	0.715
3.739	0.715
3.74	0.715
3.741	0.715
3.742	0.715
3.743	0.715
3.744	0.715
3.745	0.715
3.746	0.714375
3.747	0.714375
3.748	0.714375
3.749	0.71375
3.75	0.71375
3.751	0.71375
3.752	0.713125
3.753	0.713125
3.754	0.713125
3.755	0.713125
3.756	0.713125
3.757	0.713125
3.758	0.713125
3.759	0.713125
3.76	0.713125
3.761	0.713125
3.762	0.713125
3.763	0.71375
3.764	0.71375
3.765	0.714375
3.766	0.715
3.767	0.715
3.768	0.71625
3.769	0.71625
3.77	0.7175
3.771	0.7175
3.772	0.718125
3.773	0.71875
3.774	0.719375
3.775	0.719375
3.776	0.72
3.777	0.720625
3.778	0.72125
3.779	0.72125
3.78	0.72125
3.781	0.721875
3.782	0.721875
3.783	0.721875
3.784	0.721875
3.785	0.721875
3.786	0.721875
3.787	0.72125
3.788	0.72125
3.789	0.72125
3.79	0.72125
3.791	0.72125
3.792	0.72125
3.793	0.72125
3.794	0.720625
3.795	0.720625
3.796	0.720625
3.797	0.72
3.798	0.72
3.799	0.72
3.8	0.72
3.801	0.72
3.802	0.719375
3.803	0.719375
3.804	0.719375
3.805	0.719375
3.806	0.72
3.807	0.72
3.808	0.72
3.809	0.72
3.81	0.72
3.811	0.72
3.812	0.72
3.813	0.720625
3.814	0.720625
3.815	0.720625
3.816	0.72125
3.817	0.72125
3.818	0.72125
3.819	0.72125
3.82	0.72125
3.821	0.72125
3.822	0.72125
3.823	0.72125
3.824	0.72125
3.825	0.72125
3.826	0.72125
3.827	0.72125
3.828	0.72125
3.829	0.720625
3.83	0.720625
3.831	0.72
3.832	0.72
3.833	0.72
3.834	0.72
3.835	0.72
3.836	0.72
3.837	0.719375
3.838	0.719375
3.839	0.719375
3.84	0.719375
3.841	0.72
3.842	0.72
3.843	0.72
3.844	0.72
3.845	0.72
3.846	0.72
3.847	0.72
3.848	0.72
3.849	0.72
3.85	0.72
3.851	0.72
3.852	0.720625
3.853	0.720625
3.854	0.720625
3.855	0.72125
3.856	0.72125
