Interval=	0.001 s
ExcelDateTime=	4.3735398023912865e+004	9/27/2019 9:33:09.266072
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
2.413	1.51125
2.414	1.509375
2.415	1.5075
2.416	1.505625
2.417	1.503125
2.418	1.500625
2.419	1.498125
2.42	1.495625
2.421	1.493125
2.422	1.49
2.423	1.486875
2.424	1.484375
2.425	1.48125
2.426	1.47875
2.427	1.475625
2.428	1.4725
2.429	1.47
2.43	1.4675
2.431	1.464375
2.432	1.461875
2.433	1.45875
2.434	1.45625
2.435	1.45375
2.436	1.450625
2.437	1.4475
2.438	1.444375
2.439	1.441875
2.44	1.438125
2.441	1.435
2.442	1.431875
2.443	1.428125
2.444	1.425
2.445	1.420625
2.446	1.4175
2.447	1.413125
2.448	1.41
2.449	1.405625
2.45	1.401875
2.451	1.3975
2.452	1.39375
2.453	1.389375
2.454	1.385625
2.455	1.38125
2.456	1.3775
2.457	1.373125
2.458	1.36875
2.459	1.364375
2.46	1.359375
2.461	1.355
2.462	1.350625
2.463	1.345625
2.464	1.340625
2.465	1.335625
2.466	1.330625
2.467	1.325625
2.468	1.320625
2.469	1.315625
2.47	1.31
2.471	1.305
2.472	1.3
2.473	1.295
2.474	1.29
2.475	1.284375
2.476	1.279375
2.477	1.274375
2.478	1.269375
2.479	1.264375
2.48	1.259375
2.481	1.254375
2.482	1.249375
2.483	1.244375
2.484	1.24
2.485	1.235
2.486	1.23
2.487	1.225
2.488	1.22
2.489	1.215
2.49	1.21
2.491	1.205
2.492	1.2
2.493	1.195
2.494	1.19
2.495	1.185625
2.496	1.180625
2.497	1.175625
2.498	1.170625
2.499	1.16625
2.5	1.16125
2.501	1.15625
2.502	1.151875
2.503	1.146875
2.504	1.141875
2.505	1.1375
2.506	1.133125
2.507	1.12875
2.508	1.12375
2.509	1.12
2.51	1.115
2.511	1.110625
2.512	1.10625
2.513	1.1025
2.514	1.0975
2.515	1.093125
2.516	1.089375
2.517	1.085
2.518	1.080625
2.519	1.07625
2.52	1.0725
2.521	1.0675
2.522	1.063125
2.523	1.05875
2.524	1.054375
2.525	1.05
2.526	1.045625
2.527	1.04125
2.528	1.036875
2.529	1.0325
2.53	1.028125
2.531	1.024375
2.532	1.02
2.533	1.015625
2.534	1.011875
2.535	1.008125
2.536	1.004375
2.537	1
2.538	0.995625
2.539	0.991875
