Interval=	0.001 s
ExcelDateTime=	4.1949665459635347e+004	11/6/2014 15:58:15.712494
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.75	-2.422	-0.001
0.751	-2.427	-0.001
0.752	-2.430	-0.001
0.753	-2.432	-0.001
0.754	-2.433	-0.001
0.755	-2.431	-0.001
0.756	-2.429	-0.001
0.757	-2.425	-0.001
0.758	-2.420	-0.000
0.759	-2.416	-0.000
0.76	-2.413	-0.000
0.761	-2.410	-0.000
0.762	-2.409	-0.000
0.763	-2.410	-0.001
0.764	-2.413	-0.001
0.765	-2.416	-0.001
0.766	-2.420	-0.001
0.767	-2.425	-0.001
0.768	-2.429	-0.001
0.769	-2.432	-0.001
0.77	-2.433	-0.001
0.771	-2.433	-0.001
0.772	-2.431	-0.001
0.773	-2.428	-0.001
0.774	-2.423	-0.001
0.775	-2.419	-0.001
0.776	-2.414	-0.001
0.777	-2.411	-0.001
0.778	-2.408	-0.001
0.779	-2.408	-0.000
0.78	-2.409	-0.000
0.781	-2.411	-0.000
0.782	-2.416	-0.000
0.783	-2.420	-0.000
0.784	-2.424	-0.000
0.785	-2.429	-0.001
0.786	-2.431	-0.001
0.787	-2.433	-0.001
0.788	-2.432	-0.001
0.789	-2.429	-0.001
0.79	-2.426	-0.001
0.791	-2.422	-0.001
0.792	-2.418	-0.001
0.793	-2.414	-0.001
0.794	-2.411	-0.001
0.795	-2.409	-0.001
0.796	-2.409	-0.001
0.797	-2.411	-0.001
0.798	-2.414	-0.001
0.799	-2.418	-0.001
0.8	-2.422	-0.001
0.801	-2.426	-0.001
0.802	-2.429	-0.000
0.803	-2.431	-0.000
0.804	-2.431	-0.000
0.805	-2.430	-0.000
0.806	-2.428	-0.000
0.807	-2.424	-0.001
0.808	-2.419	-0.001
0.809	-2.415	-0.001
0.81	-2.412	-0.001
0.811	-2.409	-0.001
0.812	-2.408	-0.001
0.813	-2.409	-0.001
0.814	-2.411	-0.001
0.815	-2.414	-0.001
0.816	-2.418	-0.001
0.817	-2.422	-0.001
0.818	-2.426	-0.001
0.819	-2.429	-0.001
0.82	-2.431	-0.001
0.821	-2.431	-0.001
0.822	-2.429	-0.001
0.823	-2.427	-0.001
0.824	-2.423	-0.000
0.825	-2.420	-0.000
0.826	-2.416	-0.000
0.827	-2.413	-0.000
0.828	-2.412	-0.000
0.829	-2.412	-0.000
0.83	-2.414	-0.001
0.831	-2.416	-0.001
0.832	-2.421	-0.001
0.833	-2.424	-0.001
0.834	-2.429	-0.001
0.835	-2.432	-0.001
0.836	-2.434	-0.001
0.837	-2.434	-0.001
0.838	-2.433	-0.001
0.839	-2.431	-0.001
0.84	-2.427	-0.001
0.841	-2.422	-0.001
0.842	-2.418	-0.001
0.843	-2.414	-0.001
0.844	-2.411	-0.001
0.845	-2.409	-0.001
0.846	-2.409	-0.000
0.847	-2.411	-0.000
0.848	-2.414	-0.000
0.849	-2.418	-0.000
0.85	-2.422	-0.000
0.851	-2.426	-0.000
0.852	-2.429	-0.001
0.853	-2.431	-0.001
0.854	-2.431	-0.001
